Name,Date
Muskwa,1585259907.487164
Upper Wabasca,1585260176.644801
Upper Wabasca,1585260387.230031
Upper Wabasca,1585260435.684099
Cree,1585260607.08765
Cree,1585260660.793649
Muskwa,1585260765.315494
Muskwa,1585260854.117131
Muskwa,1585260875.058032
