ecr2_id,intact,elevdiv,fwvelref,bwvelref,brdref,treref,treec,soilc
1,0.5393,0.1949,0.0014,0.001,0.277,0.0122,0,0
2,0.0217,0.1508,0.0014,0.4676,0.0915,0.0071,0,0
3,0.0118,0.6096,0.0014,0.001,0,0,0,0
4,0.0109,0.5025,0.0014,0.001,0.0168,0.0576,0,0
5,0.0407,16.5685,0.8679,0.3422,0.2052,0,0,0
6,0.0375,11.7367,1.0454,0.8265,NA,NA,0,0
7,0.0425,42.8907,0.7387,0.8061,0.1632,0,0,0
8,0.0715,17.9662,0.5933,0.5226,NA,NA,0,0
9,0.068,79.9484,0.0014,0.7388,NA,NA,0,0
10,0.021,31.9691,0.0014,0.001,NA,NA,0,0
11,0.1042,132.2439,0.0014,0.001,NA,NA,0,0
12,0.0612,66.2335,0.0014,0.001,NA,NA,0,0
13,0.0576,4.3255,1.4711,0.7252,NA,NA,0,0
14,0.0359,0.9759,0.9519,0.6579,NA,NA,0,0
15,0.0778,0.1954,0.0014,0.001,NA,NA,0,0
16,0.0545,72.121,0.7465,0.001,NA,NA,0,0
17,0.0249,2.099,0.0014,0.001,NA,NA,0,0
18,0.1256,51.9943,0.0014,0.001,NA,NA,0,0
19,0.0166,0.0174,0.0014,0.7628,NA,NA,0,0
20,0.0573,0,0.0014,0.001,NA,NA,0,0
21,0.0706,17.5743,0.0014,1.0119,NA,NA,0,0
22,0.0401,0,0.0014,0.001,0.1357,0.0876,0,0
23,0.0583,0.3555,1.1445,0.7655,NA,NA,0,0
24,0.0611,1.4783,1.5692,0.001,NA,NA,0,0
25,0.4367,0,0.0014,0.001,0.1007,0,0,0
26,0.3026,0,0.0014,0.001,0.0268,0,0,0
27,0.677,62.7229,0.0014,0.6763,0.0272,0,0,0
28,0.2322,0,0.0014,0.001,0.0312,0,0,0
29,0.339,0.9062,0.3871,0.001,0.0438,0,0,0
30,0.5844,11.7776,0.0014,0.4718,0.074,0,0,0
31,0.354,0,0.5725,0.6272,0.0517,0,0,0
32,0.0564,0,0.0014,0.001,0.0783,0,0,0
33,0.1849,0,0.0014,0.001,0.095,0.0026,0,0
34,0.036,0,0.0014,0.001,0.0338,0.0046,0,0
35,0.0203,0.3879,0.0014,0.001,0.1196,0.0657,0,0
36,0.078,0.378,0.0014,0.001,0.1077,0.1064,0,0
37,0.0486,0,0.6999,0.7152,0.0867,0.0118,0,0
38,0.0949,23.407,0.0014,0.001,0.0453,0,0,0
39,0.0508,18.0579,0.0014,0.001,0.0861,0.0325,0,0
40,0.0356,0.1005,0.0014,0.001,0.0332,0.0387,0,0
41,0.0081,0.2782,0.0014,0.001,0.0694,0.0945,0,0
42,0.0138,0.6892,0.0014,0.001,0.1483,0.1159,0,0
43,0.014,0.9859,0.0014,0.001,0.1467,0.0153,0,0
44,0.0107,4.0248,0.4447,0.001,0.1918,0.1305,0,0
45,0.0148,0,0.0014,0.001,0.0405,0.0733,0,0
46,0.0214,0,0.5938,0.778,0.1377,0.025,0,0
47,0.0316,1.8656,0.0014,0.6105,0.1177,0.0251,0,0
48,0.0164,6.0818,0.8237,0.7431,0.1484,0,0,0
49,0.0064,0,0.0014,0.001,0,0.0327,0,0
50,0.0234,9.964,1.0369,0.687,0,0.0016,0,0
51,0.0907,0.2782,0.0014,0.001,0.1352,0.0816,0,0
