Name,intact,elevdiv,fwvelref,bwvelref,brdref,treref,treec,soilc
86,0.999,13.3498,0.8943,0.8129,0.1442,0.0724,24.1603,761.7657
87,0.9979,24.589,1.0915,0.7625,0.127,0.0488,38.5785,332.5605
88,0.9956,20.0135,0.865,0.9498,0.1657,0.0912,63.1151,239.5988
89,0.9865,73.0654,1.053,0.9899,0.2322,0.162,63.1223,145.0297
90,0.9658,71.042,1.1962,0.468,0.1859,0.1575,55.6493,238.5955
91,0.9976,11.5288,0.8683,0.8434,0.113,0.056,41.347,527.3723
92,0.9835,27.151,0.9855,0.967,0.1732,0.1205,60.1797,195.5558
93,0.87,29.6766,1.0787,0.857,0.1825,0.1326,70.7815,120.9621
94,0.9211,11.0762,1.067,0.8866,0.2024,0.12,48.9476,387.5016
95,0.9376,49.7459,1.1012,0.9984,0.1712,0.1674,90.1857,117.698
96,0.8335,103.3384,1.2661,0.9611,0.1682,0.1794,106.137,124.3173
97,0.8105,86.2614,1.1896,1.2205,0.2264,0.2424,127.9079,89.3441
98,0.8602,44.9651,1.1987,0.8732,0.209,0.0941,62.7299,111.3595
99,0.9123,92.0161,1.1126,1.0963,0.1803,0.1621,100.9377,82.2786
100,0.9606,12.1241,1.1591,0.7929,0.1905,0.0468,33.6544,391.2671
101,0.9986,190.0795,1.0907,0.9862,0.1412,0.0538,30.0523,332.9397
102,0.9978,361.7678,1.3985,1.4168,0.2773,0.1999,17.9693,245.194
103,0.9953,170.8754,1.0938,1.2539,0.1103,0.1713,36.3793,258.8806
104,0.9996,488.4076,1.7008,1.6543,0.4546,0.1754,13.5097,164.1745
105,0.9978,227.5304,1.0909,1.1429,0.1838,0.1939,64.4371,182.4682
106,0.9953,322.2952,1.2692,1.4072,0.3275,0.2588,67.2328,164.0645
107,0.9759,270.1817,1.3409,1.2846,0.2565,0.218,123.297,108.9779
108,0.9184,296.1986,1.0559,1.2107,0.3509,0.1458,45.5118,63.2809
109,0.9091,327.4528,2.1901,1.329,0.3509,0.2317,158.7603,84.6027
110,0.9243,383.3336,2.0158,1.6797,0.4283,0.2295,105.2754,97.297
111,0.8997,346.701,1.3375,1.2922,0.3202,0.0983,37.7729,67.8075
112,0.9227,302.8311,1.4205,1.3934,0.4916,0.2149,40.3313,69.7689
113,0.9594,339.3885,1.4432,1.3436,0.4091,0.1031,80.9593,61.4966
114,0.9588,209.9319,1.1286,1.5036,0.4951,0.2755,95.9114,78.0758
115,0.9364,367.587,1.6273,1.1509,0.2924,0.1364,138.6283,98.8965
116,0.9677,367.7893,1.1136,1.3715,0.3012,0.1926,103.8006,131.2071
117,0.936,435.5761,1.8669,1.6144,0.5025,0.2071,171.5696,160.8965
118,0.8329,104.2191,0.846,1.01,0.2149,0.1065,4.0923,60.3426
119,0.9166,252.181,1.3922,1.1141,0.3805,0.1241,57.8833,54.141
120,0.9985,144.6147,1.1514,0.9539,0.1657,0.2378,19.3301,397.8544
121,0.9967,262.0559,1.438,0.6218,0.3314,0.2638,32.4504,334.261
122,0.9504,161.7183,1.8698,0.6697,0.1683,0.2126,41.5092,240.785
123,0.985,474.4126,1.9895,1.3944,0.4792,0.2434,37.101,169.0218
124,0.99,236.3027,2.0137,0.7499,0.2979,0.1539,151.08,358.1016
125,0.9866,484.2187,2.0366,1.5704,0.4362,0.2502,131.1949,244.8986
126,0.6884,215.0416,1.9865,0.9562,0.2828,0.1241,168.9251,153.6246
127,0.8802,181.9878,1.9938,0.9397,0.3038,0.2066,225.6337,150.1906
128,0.5396,108.5453,1.9803,1.0311,0.2155,0.1721,98.6617,82.3186
129,0.5178,44.4582,1.2562,0.908,0.1975,0.1941,52.368,132.19
130,0.5066,39.7559,1.2309,0.9143,0.2017,0.1998,69.2509,77.2351
131,0.6506,93.9738,1.2068,1.1529,0.2099,0.2306,91.7546,45.2589
132,0.5538,41.775,1.1914,0.8691,0.1824,0.1836,34.6395,55.6657
133,0.4498,16.4408,1.2237,0.6975,0.174,0.1512,41.1769,219.4715
134,0.45,50.2173,1.6225,0.8934,0.248,0.2727,92.5742,82.2572
135,0.8487,57.491,1.2847,0.9085,0.1615,0.1725,87.6789,91.038
136,0.7966,35.5157,1.2851,0.8066,0.1734,0.1556,74.3278,70.426
137,0.3804,13.0946,1.2257,0.574,0.175,0.1431,23.8223,135.6057
138,0.3976,19.9145,1.1638,0.7764,0.2083,0.1862,23.4339,83.9776
139,0.424,51.6904,1.7504,1.0174,0.2477,0.2775,66.2147,41.985
140,0.5262,19.6577,1.1141,0.8506,0.2093,0.218,35.686,38.8735
141,0.6109,33.6016,1.3472,1.0139,0.24,0.2715,64.6045,36.1602
142,0.6103,33.7147,1.7526,1.0951,0.2456,0.2943,98.9319,22.5682
143,0.687,19.3528,1.4409,0.9289,0.2462,0.2641,92.5506,44.1769
144,0.6248,18.7182,1.2811,0.8252,0.2504,0.2567,75.0942,23.7055
145,0.7494,17.3419,1.4417,0.7128,0.2525,0.1867,100.6739,31.828
146,0.6989,19.0532,1.3813,0.8948,0.2102,0.0746,34.3807,63.3714
147,0.6189,102.2142,1.4443,1.0978,0.2461,0.2671,95.1599,44.1053
148,0.7493,112.8839,1.3763,1.1924,0.2501,0.2636,132.0767,55.773
149,0.6676,39.2277,1.3702,0.9892,0.2386,0.2228,102.743,52.0355
150,0.7456,198.769,1.5875,1.1238,0.2646,0.304,149.2787,54.9915
151,0.7179,38.2955,0.9662,0.9962,0.2245,0.2245,70.3731,26.2566
152,0.792,93.94,0.9824,1.1939,0.2266,0.2295,127.7147,30.0505
153,0.7068,52.1133,1.1609,1.0074,0.2399,0.2158,64.1624,32.49
154,0.8212,70.4137,1.204,1.0228,0.2444,0.2524,142.2443,29.65
155,0.6977,72.5401,1.4734,1.0376,0.25,0.3277,106.7133,34.7225
156,0.6344,5.4345,1.5109,0.9404,0.2481,0.3192,93.7174,107.9895
157,0.6005,5.2771,1.3034,0.7747,0.248,0.2534,32.7623,109.1859
158,0.6792,6.6669,1.4539,0.9343,0.214,0.2177,78.3362,355.1371
159,0.4525,12.5298,1.711,0.961,0.2549,0.2974,86.3232,91.3138
160,0.5405,27.4289,1.0502,0.9354,0.2113,0.0812,5.7402,87.0326
161,0.5404,16.4485,1.0954,0.8627,0.2152,0.0841,10.6084,169.458
162,0.4317,21.0225,1.144,0.9672,0.1778,0.1803,8.0021,58.5747
163,0.6173,19.7668,0.9799,0.9874,0.1955,0.2052,22.9758,53.0169
164,0.6645,41.4536,0.7828,0.9456,0.2258,0.1168,1.1901,70.1563
165,0.8468,65.3956,1.2132,0.8189,0.2241,0.1328,1.8052,58.8884
166,0.8531,27.33,1.3808,0.9696,0.1968,0.1115,0.9092,53.4227
167,0.6887,38.9386,1.5983,1.0072,0.2348,0.0978,0.3423,37.8784
168,0.6249,26.2781,1.3073,0.9958,0.1933,0.0939,3.7666,52.4771
169,0.871,67.7588,1.6809,1.1064,0.2292,0.0616,0.9895,42.8501
170,0.7565,28.9679,1.1997,1.0479,0.1992,0.1972,6.9561,61.7169
171,0.7093,31.1319,1.2848,1.0329,0.2226,0.0722,22.7148,76.9574
172,0.8526,45.2965,1.3295,1.2044,0.2301,0.0155,11.3086,116.8549
173,0.5395,22.5533,1.3382,0.9406,0.2149,0.0672,15.2449,116.2353
174,0.6053,8.2382,1.4507,0.8617,0.1994,0.151,14.5896,95.8021
175,0.7382,61.7102,1.9344,0.8846,0.2036,0.0344,7.679,73.3632
176,0.5548,21.2811,1.2134,0.8623,0.1909,0.1579,37.274,79.4819
177,0.4114,23.4322,1.22,0.7468,0.189,0.1737,20.0312,154.2928
178,0.3623,14.0496,1.1542,0.7719,0.1795,0.1883,10.631,69.7943
179,0.3572,23.5879,1.2937,0.8538,0.2136,0.182,22.7748,61.6621
180,0.8335,80.5926,1.915,1.1947,0.1842,0.1419,15.9595,38.8193
181,0.9259,315.2448,2.2497,1.5671,0.3043,0.1623,210.6429,115.5934
182,0.9202,202.4465,1.4078,1.369,0.4094,0.1754,82.3723,56.3835
