Name,intact,elevdiv,fwvelref,bwvelref,brdref,treref,treec,soilc
1,0.9999,311.8214,0.0087,0.5001,NA,NA,0,109.8447
2,0.9991,276.9546,0.7447,0.5922,0.328,0.0267,0.633,253.9079
3,0.9073,380.1891,1.4316,1.6278,0.5062,0.1799,127.5694,66.5509
4,0.7343,145.6694,1.4099,0.7144,0.2659,0.1817,7.2217,47.2047
5,0.9422,172.4901,1.2865,0.9889,0.3676,0.1143,4.1006,41.2803
6,0.9223,131.7946,0.7484,1.1709,0.3837,0.1836,1.2053,44.7109
7,0.9541,231.175,1.2817,1.2442,0.3027,0.0995,3.2977,36.7799
8,0.9305,212.8779,1.6221,1.2265,0.3108,0.1079,5.7814,46.0823
9,0.9227,136.7617,1.4827,1.4467,0.2516,0.1016,1.6282,36.8431
10,0.7465,107.0307,1.3357,0.9306,0.2975,0.1087,1.7429,47.0497
11,0.9267,284.1041,1.4047,1.2307,0.2507,0.1922,0.5872,21.498
12,0.878,122.0657,1.5772,0.6941,0.2791,0.218,0.4592,19.9409
13,0.9557,144.425,1.6664,1.0327,NA,NA,0.3522,27.2796
14,0.9062,134.9964,1.7074,1.1308,0.2737,0.0449,1.0695,52.543
15,0.742,220.3115,1.7816,0.9838,0.3771,0.338,33.4383,66.1373
16,0.5329,49.4152,1.6814,0.8903,0.3844,0.2692,13.9071,72.0755
17,0.8456,416.837,2.0203,1.4319,0.3615,0.2997,37.9118,63.0416
18,0.9045,209.5153,1.9829,1.6065,0.2969,0.0553,2.3406,34.9678
19,0.7938,141.8942,1.8039,1.4275,0.2863,0.0592,1.0763,50.8363
20,0.5033,157.0363,2.013,1.6657,NA,NA,7.9737,64.9785
21,0.9383,219.9054,1.7813,1.6458,0.2812,0.0827,24.6559,57.5335
22,0.8557,315.6442,1.9552,2.0817,NA,NA,35.3449,91.2329
23,0.7567,389.0098,2.1982,1.7887,NA,NA,43.7257,121.8259
24,0.3493,157.2638,1.6778,1.7095,NA,NA,2.2164,109.0028
25,0.5444,341.1273,2.251,2.1583,NA,NA,39.5182,121.1498
26,0.783,419.2214,2.3904,2.1727,NA,NA,66.2612,101.7619
27,0.7484,451.9628,2.437,2.2431,NA,NA,58.1682,141.015
28,0.6469,418.2365,2.5825,2.1107,NA,NA,102.7333,144.8569
29,0.5704,380.2842,2.2791,1.9992,NA,NA,104.3834,155.7459
30,0.3826,42.8469,2.0793,0.9935,NA,NA,10.7277,65.2504
31,0.4677,165.014,2.1879,1.1997,NA,NA,29.589,83.4399
32,0.5197,4.0359,1.1843,0.738,NA,NA,48.0906,157.5099
33,0.5307,40.7163,1.7018,0.3107,NA,NA,2.754,54.7133
34,0.8024,256.57,2.5406,1.0237,NA,NA,27.3194,58.3155
35,0.6001,276.9639,2.5106,1.227,NA,NA,25.4348,91.1494
36,0.3635,216.2394,2.3553,1.2393,NA,NA,35.1411,78.0711
37,0.6094,327.9174,2.4692,1.93,NA,NA,10.8704,114.1119
38,0.5914,252.1778,2.5436,1.2558,NA,NA,41.2743,69.722
39,0.513,247.6683,2.4836,0.9245,NA,NA,39.0178,56.068
40,0.7881,258.8889,2.1779,1.3519,NA,NA,7.6534,55.9306
41,0.8557,426.5855,2.1745,2.5054,NA,NA,36.2924,118.1993
42,0.3878,21.4542,2.0568,1.1658,NA,NA,26.5196,111.1242
43,0.4926,188.5553,2.2343,1.322,NA,NA,62.0602,116.3341
44,0.6877,13.643,1.2463,0.6815,NA,NA,87.0362,112.7787
45,0.8683,4.8519,1.1866,0.7454,NA,NA,91.4539,235.0468
46,0.7825,28.1529,1.4591,0.8168,NA,NA,102.0869,104.948
47,0.3419,248.7815,2.1181,1.5392,NA,NA,32.7466,80.4522
48,0.715,0.6065,1.5137,0.7139,0.2022,0.1693,32.3545,622.0637
49,0.532,27.101,2.0288,1.0142,NA,NA,9.1926,86.9205
50,0.6314,287.1863,2.1121,1.132,NA,NA,64.4451,70.607
51,0.4582,268.9314,2.5819,0.585,NA,NA,56.7371,84.6754
52,0.9994,49.5473,0.0014,0.6414,NA,NA,0,529.8198
53,0.9988,220.2245,0.0014,0.4922,NA,NA,0,690.4611
54,0.9992,58.4995,0.0014,0.5799,NA,NA,0.1734,342.3102
55,0.9996,116.9609,0.422,0.5046,NA,NA,0.3542,349.8609
56,0.9994,61.5979,0.788,0.583,0.193,0,0.5934,414.7296
57,0.9998,107.0068,0.7894,0.5555,NA,NA,0.3297,440.0291
58,0.9994,27.6569,0.8265,0.4584,NA,NA,1.4653,456.3854
59,0.9995,35.6148,0.1384,0.5614,NA,NA,0.7193,346.4233
60,0.9994,54.8252,0.5131,0.7099,0.1446,1e-04,1.2148,380.3018
61,0.9775,10.52,0.7873,0.9092,0.1935,1e-04,0.7618,472.87
62,0.9988,77.0248,0.6966,0.9027,0.1355,9e-04,1.7611,550.0829
63,0.9968,23.0928,1.0014,0.585,0.1478,0.238,8.3735,368.7173
64,0.9981,119.1482,0.776,0.7598,0.1542,0.0987,3.0456,351.8503
65,0.9978,76.179,1.2622,0.5156,0.1608,0.2245,13.9815,277.7333
66,0.9879,222.3959,1.016,0.2314,0.399,0.3093,13.9036,344.243
67,0.9995,252.5338,0.6549,0.9688,0.2009,0.0074,6.0457,439.7856
68,0.9994,47.403,0.9545,0.8985,0.168,6e-04,4.836,441.4953
69,0.9997,20.8654,0.7864,0.7876,0.1687,1e-04,1.3212,423.2511
70,0.9994,26.8647,0.8773,0.5949,0.2867,0.0023,2.9072,391.6459
71,0.9996,20.6598,0.7491,0.5642,0.2405,0,1.2264,355.5328
72,0.998,118.3335,1.1457,0.8634,0.1373,0.1039,27.5881,358.2988
73,0.9932,49.4402,1.1829,0.852,0.116,0.1394,30.2944,315.3928
74,0.999,38.8059,0.9165,0.5546,0.0709,0.0011,35.5754,310.4427
75,0.9997,153.1179,0.9144,0.9555,0.1917,0.0315,24.0693,493.358
76,0.9999,304.415,0.6939,0.9932,0.2519,0.057,22.9699,314.4125
77,0.9998,187.5839,0.9008,0.8995,0.1834,0.0441,39.4078,481.4598
78,0.9994,55.6235,1.168,0.8441,0.1404,0.0147,26.5611,472.3446
79,0.9932,61.1956,1.2358,0.8948,0.1184,0.0814,64.0268,243.1807
80,0.9999,20.1651,0.8835,0.9386,0.1742,0.0097,16.355,500.5138
81,0.9992,30.0697,0.9182,0.8271,0.2266,0.0824,18.6343,393.0745
82,0.9992,60.0707,0.9778,0.9176,0.3261,0.1306,32.808,190.8557
83,0.9993,55.2127,0.9269,0.6677,0.3069,0.0444,18.476,337.1889
84,0.9994,31.4958,1.1487,0.8932,0.1585,0.0208,24.3071,391.6957
85,0.9995,12.0735,0.8739,0.7512,0.1572,0.0418,11.9257,900.9156
