ecr1_id,intact,elevdiv,fwvelref,bwvelref,brdref,treref,treec,soilc
1,0.5393,0.1949,0.0014,0.001,0.277,0.0122,0,0
2,0.0118,0.1508,0.0014,0.001,0,0,0,0
3,0.0109,0.5025,0.0014,0.001,0.0168,0.0576,0,0
4,0.0375,11.7367,0.8679,0.3422,0.2052,0,0,0
5,0.021,17.9662,0.0014,0.001,0.1632,0,0,0
6,0.0249,0.1954,0.0014,0.001,NA,NA,0,0
7,0.0166,0,0.0014,0.001,0.1357,0.0876,0,0
8,0.2322,0,0.0014,0.001,0.0268,0,0,0
9,0.0564,0,0.0014,0.001,0.0438,0,0,0
10,0.1849,0,0.0014,0.001,0.095,0.0026,0,0
11,0.0203,0,0.0014,0.001,0.0338,0.0046,0,0
12,0.0508,18.0579,0.0014,0.001,0.0453,0,0,0
13,0.0356,0.1005,0.0014,0.001,0.0332,0.0387,0,0
14,0.0081,0,0.0014,0.001,0.0405,0.0153,0,0
15,0.0064,0,0.0014,0.001,0,0,0,0
16,0.0907,0.2782,0.0014,0.001,0.1352,0.0816,0,0
