intact  elevdiv fwvelref bwvelref   brdref   treref    treec    soilc
0.0787   0.2135   0.0014   0.0010   0.0542   0.0000   0.0000   0.0000
1.0000  694.0274    2.9372    2.5280    0.7081    0.4490  273.0532 1045.1489
