ecr3_id,intact,elevdiv,fwvelref,bwvelref,brdref,treref,treec,soilc
58,1,133.3257,0.9681,0.6174,NA,NA,32,1890
59,1,147.5935,0.8945,1.0411,NA,NA,57,1719
60,1,237.1028,1.0871,1.0347,0.2456,1e-04,77,1358
61,1,51.4731,0.885,1.1363,0.379,4e-04,57,1446
62,1,350.3501,1.0655,1.1369,0.3667,0.0119,115,1360
63,1,193.0797,1.6027,1.1108,0.2797,0.3449,133,1289
64,1,324.8234,1.2493,1.1212,0.3026,0.1874,102,917
65,1,564.6841,1.8436,1.8489,0.4742,0.3375,187,1056
66,1,534.7479,1.6665,0.5657,0.6069,0.3386,167,1254
67,1,598.0822,1.5015,1.3879,0.6351,0.0691,129,1316
68,1,209.035,1.208,1.0771,0.437,0.0263,146,1364
69,1,142.4582,0.906,1.0199,0.3063,0.0041,88,1635
70,1,162.9199,0.9396,0.751,0.5635,0.0375,65,1145
71,1,116.2429,0.8999,0.9613,0.3389,0,73,1260
72,1,522.7812,1.8329,1.5675,0.3427,0.3471,142,1377
73,1,300.3415,1.6444,1.2717,0.2276,0.3641,113,1033
74,1,230.1999,1.5121,1.3302,0.1336,0.0257,116,1062
75,1,328.1165,1.6867,1.4584,0.3739,0.1091,145,1240
76,1,664.1229,1.85,1.6233,0.472,0.1959,213,1232
77,1,523.6866,1.5388,1.259,0.3771,0.147,171,1199
78,1,347.4355,1.3295,1.3277,0.2544,0.0726,152,1519
79,1,434.9077,1.8047,1.5441,0.2628,0.3012,211,958
80,1,92.7088,1.2777,1.1092,0.2716,0.1053,124,1322
81,1,148.4218,1.0541,1.1089,0.3954,0.1558,112,1458
82,1,277.5078,1.3069,1.2801,0.5971,0.2397,173,1111
83,1,230.2935,1.0469,0.9712,0.4085,0.1122,110,936
84,1,173.6149,1.3811,1.1034,0.2668,0.1262,162,1193
85,1,67.3074,0.9861,0.9352,0.1867,0.0779,85,1732
86,1,55.1866,1.0429,1.0062,0.1972,0.1404,139,1891
87,1,145.8694,1.3672,0.9518,0.1936,0.1223,142,1473
88,1,135.7503,1.2098,1.1756,0.2244,0.1768,170,1293
89,1,278.2276,1.5314,1.2359,0.6198,0.238,191,1202
90,1,300.6039,1.4083,1.0361,0.354,0.2307,166,1496
91,1,44.4757,1.2585,1.1021,0.1913,0.1067,140,1278
92,1,146.2897,1.1387,1.1367,0.259,0.1758,184,1537
93,1,174.8325,1.509,1.0535,0.2287,0.1796,210,1943
94,1,34.6458,1.1801,0.9419,0.2295,0.1672,148,3096
95,1,305.1956,1.4189,1.2001,0.2355,0.2438,238,1093
96,1,367.0623,2.0211,1.8419,0.3067,0.3301,242,2090
97,1,176.522,1.7651,1.7265,0.266,0.3025,262,584
98,1,251.897,1.5462,1.203,0.27,0.2058,254,646
99,1,438.724,1.5959,1.581,0.3563,0.2647,268,570
100,1,203.9898,1.2963,0.9081,0.2497,0.1097,139,1225
101,1,382.4027,1.7041,1.582,0.3916,0.2162,158,1111
102,1,1286.543,3.1456,2.7953,0.8989,0.3575,227,1097
103,1,596.1642,2.1828,1.6787,0.5074,0.2725,114,882
104,1,1033.614,3.467,3.2397,0.8553,1.123,265,1006
105,1,613.776,2.9007,2.5201,0.5748,0.3819,247,909
106,1,690.6499,2.7327,2.6137,0.9006,0.4308,287,1113
107,1,623.5381,2.5968,2.343,0.6668,0.3612,382,986
108,1,772.1575,2.6878,2.3288,0.694,0.2941,239,703
109,1,612.9598,3.5496,3.2828,0.5589,0.3422,496,630
110,1,1137.6479,3.4708,3.1674,0.8301,0.4645,431,795
111,1,712.0579,2.5719,2.2888,0.5586,0.2431,197,542
112,1,686.0629,3.3696,3.1215,0.7602,0.4147,185,668
113,1,601.6264,2.5986,2.354,0.6265,0.1846,364,559
114,1,670.9441,2.961,2.8781,0.9015,0.5468,412,900
115,1,793.6669,2.8995,2.4936,0.6971,0.3819,435,1087
116,1,666.1445,2.5724,2.3313,0.5727,0.375,371,1124
117,1,707.5845,3.6363,3.3048,0.7144,0.5516,602,977
118,1,189.6833,1.0828,1.1504,0.2576,0.1426,131,275
119,1,619.0892,2.5112,2.1509,0.5842,0.2398,383,625
120,1,387.982,1.7933,1.4606,0.3105,0.3344,226,1248
121,1,668.673,2.2321,1.9808,0.7789,0.3957,315,1932
122,1,708.962,2.6093,1.9652,0.4537,0.3475,198,1038
123,1,1199.397,3.8008,3.4478,0.9675,0.8382,355,1521
124,1,933.6108,3.329,3.1366,0.694,0.4242,554,1871
125,1,889.0386,3.5673,3.3039,0.9667,0.5608,506,1230
126,1,661.0564,3.4277,3.3129,0.6561,0.3331,530,805
127,1,635.9761,3.4776,2.9905,0.6592,0.4468,623,958
128,1,321.1267,2.4584,1.2277,0.3228,0.2405,484,485
129,1,273.984,1.6023,1.3998,0.2398,0.2762,247,1690
130,1,149.5929,1.4491,1.143,0.2373,0.2672,260,578
131,1,344.7712,1.8776,1.8054,0.2557,0.3014,258,481
132,1,82.7225,1.3046,1.0277,0.2134,0.2356,171,872
133,1,50.7057,1.3201,0.8746,0.2017,0.1874,218,2115
134,1,256.6743,2.0241,1.204,0.2729,0.3299,234,1145
135,1,216.7343,1.7777,1.2205,0.2081,0.2562,209,1104
136,1,176.7625,1.4547,0.9597,0.2024,0.1749,177,724
137,1,48.3616,1.371,0.8981,0.2041,0.1808,218,1503
138,1,61.3321,1.3328,1.0232,0.2497,0.2321,273,928
139,1,303.6077,2.2731,1.2064,0.2949,0.3385,262,804
140,1,58.3618,1.3865,1.0081,0.2455,0.2883,246,707
141,1,134.2351,1.6284,1.2205,0.2667,0.3569,256,442
142,1,309.5408,2.6266,1.4481,0.2826,0.394,289,584
143,1,60.1245,1.7744,1.2171,0.3007,0.366,279,696
144,1,40.1657,1.4405,1.1139,0.2802,0.3079,239,440
145,1,53.3014,1.753,1.0496,0.2821,0.2922,261,580
146,1,36.0989,1.8049,1.0495,0.2599,0.2268,214,351
147,1,362.7694,2.2998,2.0134,0.2946,0.3687,283,1144
148,1,327.238,2.2179,1.8028,0.2841,0.3456,287,640
149,1,157.7605,2.1964,1.252,0.2743,0.3241,281,598
150,1,512.619,2.7139,2.4454,0.3202,0.3943,294,1488
151,1,143.7978,1.2381,1.2527,0.2522,0.2777,248,454
152,1,174.4615,1.4275,1.7095,0.256,0.2611,284,411
153,1,169.8807,1.4345,1.2534,0.2623,0.2586,273,242
154,1,149.6911,1.8306,1.1668,0.2627,0.3096,293,362
155,1,217.7434,1.8183,1.3372,0.2835,0.3682,268,412
156,1,50.9857,1.8846,1.1623,0.3009,0.3952,290,1108
157,1,55.3196,1.7168,0.9622,0.2832,0.3522,220,1640
158,1,33.8667,1.8074,1.6445,0.2754,0.3376,276,2037
159,1,27.0318,1.9345,1.101,0.2814,0.3354,243,874
160,1,315.6224,1.2978,1.4302,0.2875,0.2054,209,705
161,1,175.7087,1.1911,0.9696,0.2554,0.1231,122,1731
162,1,69.4996,1.3079,1.1043,0.2306,0.2517,235,589
163,1,45.2712,1.2816,1.1147,0.2526,0.2478,235,342
164,1,369.1189,1.6323,1.3993,0.3436,0.3113,181,525
165,1,683.7466,2.1976,1.3523,0.3644,0.2528,165,436
166,1,74.3337,1.6181,1.057,0.2834,0.2395,152,432
167,1,427.626,2.6998,1.6322,0.4391,0.319,108,301
168,1,82.0118,1.4467,1.2092,0.2508,0.2403,223,442
169,1,562.0516,2.8953,1.9648,0.4872,0.2897,121,414
170,1,59.374,1.3678,1.1339,0.223,0.2402,185,294
171,1,63.8298,1.4197,1.2224,0.2473,0.2029,214,430
172,1,94.7744,1.7296,1.5278,0.2972,0.0928,161,450
173,1,76.7074,1.5288,1.0627,0.2489,0.2157,179,514
174,1,67.9157,2.0204,1.8267,0.2697,0.3522,196,1189
175,1,760.9337,3.5461,3.3079,0.2469,0.0763,171,608
176,1,85.5246,1.4658,1.0072,0.2159,0.1894,216,821
177,1,51.3727,1.295,0.8647,0.2093,0.2132,177,1622
178,1,46.7486,1.3268,0.8979,0.2266,0.2207,206,640
179,1,95.3772,1.4507,1.0289,0.2451,0.2201,234,748
180,1,304.5105,3.3478,1.8252,0.2322,0.2216,182,656
181,1,726.2384,3.5662,3.3116,0.5864,0.4842,549,1085
182,1,603.2248,3.262,3.0473,0.6292,0.3881,460,855
