ecr3_id,intact,elevdiv,fwvelref,bwvelref,brdref,treref,treec,soilc
1,1,655.7733,1.0896,0.7446,NA,NA,0,2762
2,1,565.7592,1.0965,1.0074,0.4085,0.0743,135,1638
3,1,761.3525,3.4928,3.0447,0.7746,0.5158,409,786
4,1,655.1053,2.2977,1.7817,0.6408,0.3533,298,671
5,1,541.5603,1.9173,1.9271,0.5573,0.1997,204,592
6,1,773.4326,2.1227,1.9052,0.6618,0.3159,149,476
7,1,1151.988,2.6259,2.4025,0.8384,0.4097,208,543
8,1,684.8646,2.5934,2.4081,0.5412,0.2535,157,443
9,1,696.7092,3.5544,3.2977,0.6239,0.312,155,445
10,1,491.788,2.1313,1.5622,0.4317,0.1988,191,814
11,1,1112.605,2.8484,2.6653,0.7075,0.3716,173,432
12,1,937.3321,3.4128,3.1541,0.3948,0.337,140,628
13,1,457.0825,3.378,3.3296,NA,NA,114,614
14,1,653.7961,3.7119,3.4764,0.3662,0.1303,146,557
15,1,945.6279,3.5447,3.1433,0.5089,0.478,446,1570
16,1,751.204,2.4526,1.869,0.4512,0.5211,312,1370
17,1,893.7908,3.481,3.2214,0.5163,0.439,304,526
18,1,665.8336,3.4735,3.0084,0.3523,0.142,122,410
19,1,451.6956,3.3684,3.2468,0.2931,0.073,120,479
20,1,568.9631,3.4654,3.2573,NA,NA,174,487
21,1,680.9952,2.9343,2.8284,0.4466,0.1814,166,855
22,1,813.5065,3.8977,3.6367,NA,NA,232,636
23,1,820.5685,3.71,3.4261,NA,NA,234,819
24,1,647.2841,3.4719,2.8417,NA,NA,154,1024
25,1,1008.21,3.7365,3.4556,NA,NA,216,741
26,0.9504,766.7499,3.8285,3.5725,NA,NA,207,575
27,0.9749,994.3604,3.8816,3.6115,NA,NA,233,642
28,0.9656,976.1113,3.877,3.6074,NA,NA,243,857
29,0.9559,841.277,3.7645,3.4776,NA,NA,285,661
30,1,425.4953,3.1231,1.7649,NA,NA,125,439
31,1,763.0206,3.4426,3.2381,NA,NA,196,556
32,1,24.569,1.3314,0.7999,NA,NA,163,715
33,1,367.5023,3.1952,0.9815,NA,NA,127,689
34,1,767.2755,3.8417,3.4918,NA,NA,212,546
35,1,799.6062,3.6892,3.4674,NA,NA,166,837
36,1,822.8433,3.744,3.3663,NA,NA,230,470
37,0.9746,718.8293,3.6668,3.3814,NA,NA,222,514
38,1,696.449,3.662,3.456,NA,NA,237,471
39,1,763.0776,3.7008,3.4273,NA,NA,197,725
40,1,579.5214,3.6581,3.2917,NA,NA,119,430
41,0.9125,568.0953,3.488,3.3283,NA,NA,109,461
42,1,419.693,2.9992,1.4409,NA,NA,204,818
43,1,917.9687,3.6675,3.2844,NA,NA,266,618
44,1,75.8821,1.493,0.8542,NA,NA,216,477
45,1,26.1168,1.3143,0.9426,NA,NA,218,779
46,1,86.065,2.1323,1.1749,NA,NA,224,443
47,1,460.8388,3.4598,3.1816,NA,NA,178,447
48,1,4.2743,1.9937,1.3742,0.2295,0.2103,246,2909
49,1,272.8202,2.6986,1.1673,NA,NA,144,709
50,1,748.5806,3.6602,2.9595,NA,NA,187,471
51,1,988.8702,3.713,3.4305,NA,NA,237,759
52,1,221.1201,0.0014,0.807,NA,NA,0,1634
53,1,539.3618,0.0014,0.748,NA,NA,0,2911
54,1,218.9331,0.0014,0.8071,NA,NA,29,1006
55,1,457.9535,1.1018,0.7073,NA,NA,82,1306
56,1,448.2776,1.0192,0.8558,0.3806,2e-04,84,1626
57,1,454.7242,0.9599,0.8766,NA,NA,56,1589
