intact  elevdiv fwvelref bwvelref   brdref   treref    treec    soilc
0.2210   0.0005   0.0014   0.0010   0.0521   0.0000   0.0000   0.0000
1.0000  886.0340    3.2127    2.7848    0.7608    0.4458  299.6818 1226.6080
